iter	Passed	Remaining
509	405	389
510	406	388
511	406	387
512	407	386
513	407	385
514	408	384
515	408	383
516	409	382
517	410	381
518	410	380
519	411	379
520	412	379
521	413	378
522	413	377
523	414	376
524	415	376
525	416	375
526	417	374
527	417	373
528	418	372
529	418	371
530	419	370
531	420	369
532	420	368
533	421	367
534	422	366
535	422	365
536	423	365
537	424	364
538	424	363
539	425	362
540	425	361
541	426	360
542	427	359
543	428	359
544	429	358
545	429	357
546	430	356
547	431	355
548	432	354
549	433	354
550	433	353
551	434	352
552	434	351
553	435	350
554	435	349
555	436	348
556	437	347
557	437	346
558	438	345
559	438	344
560	439	344
561	440	343
562	441	342
563	441	341
564	442	340
565	442	339
566	443	338
567	443	337
568	444	336
569	444	335
570	445	334
571	445	333
572	446	332
573	447	332
574	447	331
575	448	330
576	449	329
577	449	328
578	450	327
579	450	326
580	451	325
581	452	325
582	453	324
583	454	323
584	455	323
585	456	322
586	457	321
587	457	320
588	458	319
589	458	318
590	459	317
591	460	317
592	461	316
593	461	315
594	462	314
595	463	314
596	464	313
597	464	312
598	465	311
599	465	310
600	466	309
601	467	308
602	467	308
603	468	307
604	469	306
605	469	305
606	470	304
607	471	303
608	472	303
609	472	302
610	473	301
611	474	300
612	474	299
613	475	298
614	476	298
615	476	297
616	477	296
617	477	295
618	477	294
619	478	293
620	478	292
621	479	291
622	480	290
623	481	290
624	481	289
625	482	288
626	483	287
627	484	286
628	484	285
629	484	284
630	485	284
631	486	283
632	486	282
633	488	281
634	489	281
635	489	280
636	490	279
637	491	278
638	492	277
639	492	277
640	493	276
641	494	275
642	494	274
643	495	274
644	496	273
645	497	272
646	498	272
647	499	271
648	500	270
649	500	269
650	501	268
651	502	268
652	502	267
653	503	266
654	504	265
655	504	264
656	505	264
657	506	263
658	507	262
659	507	261
660	508	260
661	509	259
662	509	259
663	510	258
664	511	257
665	511	256
666	512	255
667	512	254
668	513	253
669	513	252
670	513	251
671	514	251
672	514	250
673	515	249
674	515	248
675	516	247
676	516	246
677	517	245
678	518	245
679	519	244
680	519	243
681	520	242
682	520	241
683	521	241
684	522	240
685	523	239
686	524	239
687	525	238
688	526	237
689	527	236
690	528	236
691	528	235
692	529	234
693	529	233
694	530	232
695	531	232
696	532	231
697	532	230
698	533	229
699	533	228
700	534	228
701	535	227
702	536	226
703	536	225
704	537	224
705	537	223
706	538	223
707	538	222
708	539	221
709	540	220
710	541	219
711	542	219
712	543	218
713	544	217
714	544	217
715	545	216
716	545	215
717	546	214
718	547	213
719	548	213
720	548	212
721	549	211
722	550	210
723	550	209
724	551	209
725	552	208
726	553	207
727	554	207
728	555	206
729	555	205
730	556	204
731	557	204
732	557	203
733	558	202
734	559	201
735	560	200
736	560	200
737	561	199
738	561	198
739	561	197
740	562	196
741	563	195
742	564	195
743	564	194
744	565	193
745	566	192
746	566	192
747	567	191
748	568	190
749	569	189
750	570	188
751	570	188
752	571	187
753	571	186
754	572	185
755	572	184
756	573	184
757	573	183
758	574	182
759	575	181
760	576	180
761	576	180
762	577	179
763	578	178
764	578	177
765	579	177
766	580	176
767	580	175
768	581	174
769	581	173
770	582	173
771	583	172
772	584	171
773	584	170
774	585	170
775	586	169
776	586	168
777	587	167
778	588	166
779	588	166
780	589	165
781	590	164
782	591	163
783	591	163
784	592	162
785	593	161
786	593	160
787	594	159
788	595	159
789	596	158
790	596	157
791	597	156
792	598	156
793	599	155
794	600	154
795	601	154
796	601	153
797	602	152
798	602	151
799	603	150
800	603	150
801	605	149
802	605	148
803	606	147
804	607	147
805	608	146
806	609	145
807	610	144
808	610	144
809	611	143
810	612	142
811	612	141
812	613	141
813	613	140
814	614	139
815	614	138
816	615	137
817	616	137
818	617	136
819	617	135
820	618	134
821	618	134
822	619	133
823	620	132
824	620	131
825	621	130
826	622	130
827	622	129
828	623	128
829	624	127
830	624	127
831	625	126
832	626	125
833	627	124
834	628	124
835	628	123
836	629	122
837	630	121
838	631	121
839	631	120
840	632	119
841	633	118
842	633	118
843	634	117
844	635	116
845	635	115
846	636	115
847	637	114
848	638	113
849	638	112
850	639	111
851	639	111
852	640	110
853	640	109
854	641	108
855	642	108
856	642	107
857	643	106
858	644	105
859	645	105
860	645	104
861	646	103
862	647	102
863	647	101
864	648	101
865	649	100
866	650	99
867	651	99
868	651	98
869	652	97
870	653	96
871	653	95
872	654	95
873	655	94
874	655	93
875	656	92
876	657	92
877	658	91
878	658	90
879	659	89
880	660	89
881	660	88
882	661	87
883	661	86
884	662	86
885	663	85
886	663	84
887	664	83
888	665	83
889	665	82
890	666	81
891	667	80
892	667	80
893	668	79
894	669	78
895	670	77
896	671	77
897	671	76
898	672	75
899	673	74
900	674	74
901	675	73
902	675	72
903	676	71
904	676	71
905	677	70
906	678	69
907	679	68
908	680	68
909	681	67
910	681	66
911	682	65
912	683	65
913	683	64
914	684	63
915	684	62
916	685	62
917	685	61
918	686	60
919	686	59
920	687	58
921	688	58
922	688	57
923	689	56
924	690	55
9926	702	559927	703	54
928	705	53
929	705	53
930	706	52
931	707	51
932	707	50
933	708	50
934	708	49
935	709	48
936	710	47
937	711	47
938	712	46
939	713	45
940	714	44
941	715	44
942	715	43
943	716	42
944	716	41
945	717	40
946	718	40
947	719	39
948	719	38
949	720	37
950	721	37
951	722	36
952	723	35
953	724	34
954	724	34
955	725	33
956	726	32
957	726	31
958	727	31
959	728	30
960	729	29
961	729	28
962	730	28
963	731	27
964	731	26
965	732	25
966	733	25
967	734	24
968	735	23
969	737	22
970	738	22
971	739	21
972	740	20
973	741	19
974	742	19
975	743	18
976	744	17
977	744	16
978	745	15
979	746	15
980	746	14
981	747	13
982	748	12
983	749	12
984	750	11
985	750	10
986	751	9
987	752	9
988	753	8
989	753	7
990	754	6
991	755	6
992	756	5
993	756	4
994	757	3
995	757	3
996	758	2
997	759	1
998	759	0
999	760	0
999	742	0
37	0
999	738	0
