iter	Logloss
0	0.6913326922
1	0.689230389
2	0.6874325098
3	0.6848925988
4	0.6831161175
5	0.6812064444
6	0.6794641465
7	0.6773077433
8	0.6751085468
9	0.6733708229
10	0.6719306095
11	0.6698524193
12	0.6681257333
13	0.6664601737
14	0.6644040972
15	0.6625689827
16	0.6607762346
17	0.658714074
18	0.6566748046
19	0.6547827582
20	0.6530799898
21	0.6509244808
22	0.6491192111
23	0.6474052825
24	0.645935992
25	0.6441308165
26	0.6426372615
27	0.6409866326
28	0.6395103258
29	0.6375879888
30	0.6358287413
31	0.6340315607
32	0.6319899127
33	0.6301397965
34	0.6279962847
35	0.6264683223
36	0.6246753793
37	0.622759287
38	0.6210125521
39	0.619405942
40	0.6177863175
41	0.6155733275
42	0.6140572701
43	0.6121362795
44	0.6105129588
45	0.6090585177
46	0.6073890619
47	0.6060311389
48	0.6046384309
49	0.6027899106
50	0.6014734009
51	0.5999471592
52	0.5980376834
53	0.5963894036
54	0.5947591277
55	0.5930610524
56	0.5917463021
57	0.590125602
58	0.5888587902
59	0.5873282719
60	0.5858128867
61	0.5845324991
62	0.5829601388
63	0.5814161546
64	0.5796902076
65	0.578305142
66	0.5768798824
67	0.575400419
68	0.5738592511
69	0.5727656972
70	0.5715798358
71	0.5705599636
72	0.5690470389
73	0.5677108434
74	0.5660723335
75	0.5644999484
76	0.5628019179
77	0.5613815675
78	0.5600053588
79	0.5583602386
80	0.5569544195
81	0.5552691806
82	0.5539768651
83	0.5527528092
84	0.5516330654
85	0.5501744933
86	0.5489957416
87	0.5473707326
88	0.5461325853
89	0.5447426569
90	0.5436375425
91	0.5424500762
92	0.5412306851
93	0.5399527208
94	0.5386818153
95	0.5374433878
96	0.5360070878
97	0.5346229691
98	0.5329004937
99	0.531528333
100	0.5301103632
101	0.5290803902
102	0.5276846737
103	0.5260672722
104	0.5245650269
105	0.5233815407
106	0.5221742006
107	0.5206929144
108	0.5197256015
109	0.5182904063
110	0.5168216279
111	0.5152926888
112	0.5142606253
113	0.512684499
114	0.5111390047
115	0.5097971533
116	0.5087827728
117	0.5076780225
118	0.5061039252
119	0.5049330698
120	0.5038520814
121	0.5024166678
122	0.5007390638
123	0.4993070916
124	0.4979653871
125	0.4970153941
126	0.4959368182
127	0.4947025696
128	0.4932024926
129	0.4919442236
130	0.4906303519
131	0.4893569339
132	0.4881354207
133	0.4869158933
134	0.4856734563
135	0.4847905745
136	0.4833382085
137	0.4822975655
138	0.4809640635
139	0.4797823055
140	0.4786703045
141	0.4779643482
142	0.4769868796
143	0.4762713041
144	0.4752115498
145	0.4739489348
146	0.4728191815
147	0.4715928962
148	0.4699981972
149	0.4687629713
150	0.4677075471
151	0.4664568981
152	0.4651676634
153	0.4641702386
154	0.4625420458
155	0.4612380317
156	0.460314348
157	0.4593486651
158	0.4580762452
159	0.4566632767
160	0.4555566565
161	0.4546591211
162	0.4537565203
163	0.4527226134
164	0.451929253
165	0.4510946059
166	0.449973408
167	0.4489072103
168	0.4481439122
169	0.4467982257
170	0.4455597488
171	0.4447306918
172	0.4437310187
173	0.44279073
174	0.4415980839
175	0.4405944057
176	0.4393144657
177	0.4385473874
178	0.4373603914
179	0.4361745919
180	0.4350255299
181	0.4344429105
182	0.4332095414
183	0.432332318
184	0.4311208667
185	0.4300386702
186	0.4290912464
187	0.4282298313
188	0.4274989614
189	0.4265977886
190	0.4257420752
191	0.4246781461
192	0.4235495692
193	0.4225112447
194	0.4217054495
195	0.4209990938
196	0.4197758502
197	0.4185675114
198	0.4176933664
